manual	agent	count
acsp	acsp	182
acsp	masp	3
acsp	cysp	2
acsp	masp/acsp	1
acsp	pysp	1
agsp1	agsp1	24
agsp1	unknown	1
agsp1	acsp	1
agsp2	agsp2	29
crsp	crsp	7
cysp	cysp	72
cysp	crsp	2
flag	flag	65
masp	masp	120
masp	masp1	66
masp	misp	36
masp	masp2	8
masp	masp/acsp	3
masp	acsp	2
masp	masp/misp	1
masp	cysp/misp	1
masp1	masp1	121
masp1	misp	4
masp1	masp1/misp	1
masp2	masp2	35
masp2	masp	5
masp2	masp3	5
masp2	masp1	4
masp2	masp2b	4
masp2b	masp2b	23
masp3	masp3	9
masp3b	masp3b	10
masp3b	misp	1
misp	misp	325
misp	masp	11
misp	misp/masp	2
misp	acsp	1
misp	masp/misp	1
misp	masp3b	1
misp	masp1	1
pflag	pflag	2
pysp	pysp	76
pysp	masp	3
unknown	masp	19
unknown	misp	10
unknown	unknown	3
unknown	masp1	2
unknown	acsp	2
unknown	ampullate_spidroin	1
